cds ID,cds length (bp),GC%,ENC,CAI,GC1,GC2,GC3
ENSPMJT00000000007.1,978,49.79550102249489,41.7332933029793,1.0,53.987730061349694,41.41104294478527,53.987730061349694
ENSPMJT00000000011.1,1040,47.88461538461539,38.377100613546105,1.0,48.554913294797686,44.797687861271676,50.57803468208093
ENSPMJT00000000017.1,1551,50.22566086395873,38.14290607452113,1.0,54.73887814313346,42.16634429400386,53.77176015473888
ENSPMJT00000000020.1,684,50.58479532163743,40.17700497384447,1.0,57.45614035087719,39.03508771929825,55.26315789473685
ENSPMJT00000000022.1,168,45.83333333333333,51.1790359680013,1.0,30.357142857142854,57.14285714285714,50.0
ENSPMJT00000000023.1,684,49.41520467836257,40.19184944437059,1.0,55.70175438596491,38.59649122807017,53.94736842105263
ENSPMJT00000000024.1,784,51.02040816326531,40.15573107075973,1.0,55.172413793103445,42.911877394636015,55.172413793103445
ENSPMJT00000000026.1,351,46.72364672364672,43.69127168116598,1.0,53.84615384615385,39.31623931623932,47.008547008547005
ENSPMJT00000000028.1,297,47.13804713804714,43.492421203337805,1.0,50.505050505050505,42.42424242424242,48.484848484848484
ENSPMJT00000000029.1,1378,48.40348330914369,37.29409466258655,1.0,51.19825708061002,40.305010893246184,53.812636165577345
ENSPMJT00000000033.1,1818,47.964796479647966,36.71716769319918,1.0,48.01980198019802,42.40924092409241,53.46534653465347
ENSPMJT00000000034.1,1142,49.73730297723292,36.09211552107013,1.0,53.94736842105263,39.473684210526315,56.05263157894736
ENSPMJT00000000037.1,519,47.398843930635834,41.85595764630699,1.0,58.95953757225434,42.19653179190752,41.040462427745666
ENSPMJT00000000048.1,651,52.995391705069125,44.8176513958786,1.0,47.465437788018434,32.25806451612903,79.26267281105991
ENSPMJT00000000082.1,651,52.995391705069125,44.8176513958786,1.0,47.465437788018434,32.25806451612903,79.26267281105991
ENSPMJT00000000054.1,750,57.733333333333334,44.021401269229855,1.0,57.599999999999994,40.0,75.6
ENSPMJT00000000045.1,528,60.03787878787878,45.67321608883597,1.0,59.65909090909091,54.54545454545454,65.9090909090909
ENSPMJT00000000072.1,3324,42.38868832731649,49.89589726939996,1.0,52.34657039711191,38.26714801444043,36.55234657039711
ENSPMJT00000000103.1,3210,42.149532710280376,49.434493365096735,1.0,52.429906542056074,38.13084112149533,35.88785046728972
ENSPMJT00000000134.1,3162,42.061986084756484,50.09633177681732,1.0,51.70777988614801,37.66603415559772,36.81214421252372
ENSPMJT00000000195.1,3111,42.23722275795564,49.89904911394892,1.0,52.74831243972999,37.704918032786885,36.25843780135005
ENSPMJT00000000263.1,3339,42.34800838574424,49.87272347589099,1.0,52.2911051212938,38.00539083557952,36.74752920035939
ENSPMJT00000000317.1,3258,42.35727440147329,50.13798832606809,1.0,51.93370165745856,37.84530386740331,37.29281767955801
ENSPMJT00000000079.1,1944,46.75925925925926,50.79940272425705,1.0,58.64197530864198,40.123456790123456,41.51234567901235
ENSPMJT00000000065.1,1299,54.65742879137798,48.523668147645736,1.0,52.42494226327945,45.49653579676674,66.05080831408776
ENSPMJT00000000055.1,1182,53.8917089678511,47.95272642977378,1.0,54.314720812182735,42.13197969543147,65.22842639593908
ENSPMJT00000000923.1,1401,54.17558886509636,44.87394855733617,1.0,52.24839400428265,39.61456102783726,70.66381156316916
ENSPMJT00000001188.1,1611,54.87274984481688,46.19430134398972,1.0,53.25884543761639,42.27188081936685,69.08752327746741
ENSPMJT00000000091.1,1365,47.47252747252747,47.79208437940606,1.0,52.087912087912095,34.505494505494504,55.824175824175825
ENSPMJT00000000068.1,339,57.817109144542776,50.98897223019414,1.0,64.60176991150442,54.86725663716814,53.98230088495575
ENSPMJT00000000064.1,234,37.60683760683761,53.36205063752748,1.0,34.61538461538461,41.02564102564102,37.17948717948718
ENSPMJT00000000056.1,1470,48.02721088435374,53.02224775826467,1.0,59.183673469387756,31.22448979591837,53.673469387755105
ENSPMJT00000000063.1,1995,56.390977443609025,49.68109450146291,1.0,56.84210526315789,48.57142857142857,63.75939849624061
ENSPMJT00000000105.1,1839,56.226209896682974,49.63620324938594,1.0,57.25938009787929,47.63458401305057,63.78466557911908
ENSPMJT00000000053.1,540,51.48148148148148,44.2894269075629,1.0,46.666666666666664,33.88888888888889,73.88888888888889
ENSPMJT00000000047.1,471,59.87261146496815,51.853338009514786,1.0,62.42038216560509,59.23566878980891,57.961783439490446
ENSPMJT00000000050.1,1926,67.1858774662513,40.37954508121943,1.0,70.56074766355141,53.58255451713395,77.41433021806854
ENSPMJT00000000092.1,1899,67.61453396524486,39.360235021151105,1.0,71.40600315955766,51.50078988941548,79.93680884676145
ENSPMJT00000000049.1,585,41.70940170940171,52.82395153434091,1.0,49.23076923076923,31.794871794871792,44.1025641025641
ENSPMJT00000000095.1,561,42.60249554367201,53.422166087128666,1.0,49.19786096256685,32.62032085561498,45.98930481283423
ENSPMJT00000000158.1,666,39.93993993993994,53.21495350962719,1.0,46.846846846846844,31.53153153153153,41.44144144144144
ENSPMJT00000000066.1,2967,63.97034041118975,44.17451487689072,1.0,66.93629929221436,52.679474216380186,72.29524772497471
ENSPMJT00000000090.1,2865,63.909249563699824,42.36238084245474,1.0,65.44502617801047,51.30890052356021,74.9738219895288
ENSPMJT00000000115.1,2754,63.471314451706604,44.77773204836433,1.0,66.33986928104575,52.94117647058824,71.13289760348583
ENSPMJT00000000136.1,2625,63.2,45.28842741195567,1.0,66.17142857142856,52.91428571428571,70.51428571428572
ENSPMJT00000000213.1,2286,58.53018372703412,37.01131295834556,1.0,52.887139107611546,38.4514435695538,84.25196850393701
ENSPMJT00000000242.1,2283,58.34428383705651,37.481509499535264,1.0,52.56241787122208,38.76478318002628,83.70565045992116
ENSPMJT00000000385.1,2259,58.432934926958836,37.028222534798225,1.0,52.45683930942895,38.37981407702523,84.4621513944223
ENSPMJT00000000442.1,2244,59.35828877005348,38.7769957660191,1.0,54.67914438502673,42.24598930481284,81.14973262032086
ENSPMJT00000000679.1,2199,58.890404729422464,36.77713260408157,1.0,52.9331514324693,39.017735334242836,84.72032742155525
ENSPMJT00000000803.1,2088,58.14176245210728,37.940831748895775,1.0,52.44252873563219,38.50574712643678,83.47701149425288
ENSPMJT00000000914.1,1947,58.038007190549564,38.0487751001293,1.0,51.771956856702616,38.674884437596305,83.66718027734977
ENSPMJT00000000060.1,1719,51.832460732984295,54.60631340088466,1.0,61.08202443280978,50.959860383944154,43.455497382198956
ENSPMJT00000000071.1,1587,49.023314429741646,50.74054721735703,1.0,60.49149338374291,43.47826086956522,43.10018903591683
ENSPMJT00000000098.1,1680,49.22619047619048,50.649454976617776,1.0,60.357142857142854,43.392857142857146,43.92857142857143
ENSPMJT00000000059.1,828,40.09661835748793,49.3890338348015,1.0,51.449275362318836,32.2463768115942,36.594202898550726
ENSPMJT00000000088.1,918,39.97821350762527,50.62246591185975,1.0,50.98039215686274,31.699346405228756,37.254901960784316
ENSPMJT00000000061.1,1185,42.700421940928265,51.616852826955835,1.0,55.949367088607595,32.151898734177216,40.0
ENSPMJT00000000084.1,1356,43.141592920353986,52.084232693538056,1.0,53.98230088495575,33.6283185840708,41.8141592920354
ENSPMJT00000000074.1,3321,54.95332731105089,50.48399233686948,1.0,57.994579945799465,46.070460704607044,60.794941282746166
ENSPMJT00000000122.1,3192,55.26315789473685,50.1038103058419,1.0,58.08270676691729,46.616541353383454,61.09022556390977
ENSPMJT00000000159.1,3270,53.88379204892967,50.71339988513115,1.0,57.52293577981651,44.678899082568805,59.44954128440367
ENSPMJT00000000062.1,1014,41.71597633136095,52.74245581661977,1.0,47.337278106508876,34.61538461538461,43.19526627218935
ENSPMJT00000000108.1,1014,41.71597633136095,52.74245581661977,1.0,47.337278106508876,34.61538461538461,43.19526627218935
ENSPMJT00000000069.1,894,41.2751677852349,52.385830551977016,1.0,46.97986577181208,30.201342281879196,46.644295302013425
ENSPMJT00000000070.1,2574,50.93240093240093,48.7598344013672,1.0,48.95104895104895,46.27039627039627,57.57575757575758
ENSPMJT00000000077.1,1134,50.70546737213404,51.54984268556485,1.0,54.761904761904766,38.35978835978836,58.994708994709
ENSPMJT00000000102.1,1080,49.166666666666664,53.222988229154616,1.0,52.22222222222223,38.611111111111114,56.666666666666664
ENSPMJT00000000126.1,1053,50.237416904083574,52.828926151584966,1.0,54.700854700854705,38.74643874643874,57.26495726495726
ENSPMJT00000000137.1,1233,52.06812652068127,52.77888515770583,1.0,55.71776155717762,42.092457420924575,58.3941605839416
ENSPMJT00000000142.1,1083,45.06001846722069,38.29012428967708,1.0,43.76731301939058,32.96398891966759,58.448753462603875
